node,BreitbartNews,FiveThirtyEight,csmonitor,MotherJones,NRO,dailykos,theblaze,thenation,DRUDGE_REPORT,WSJ,washingtonpost,FoxNews,NPR
34328,1,1,0,0,1,0,1,1,1,1,1,1,1
34464,0,1,0,0,0,0,0,0,0,0,0,0,0
34497,0,1,0,0,0,0,0,0,0,0,0,0,0
34625,0,1,0,0,0,0,0,0,0,0,0,0,0
34849,1,1,0,0,1,1,1,0,1,1,1,1,1
35161,0,1,0,0,1,0,0,0,0,1,1,0,0
35253,0,1,0,0,0,0,0,0,0,0,0,0,0
35293,1,0,0,0,1,0,0,0,0,0,0,0,0
35420,0,1,0,0,0,0,0,0,0,0,0,0,0
35436,0,1,0,0,0,0,0,0,0,0,0,0,0
36086,0,1,0,1,0,1,0,0,0,1,1,0,1
36382,0,1,0,0,0,0,0,0,0,1,0,0,0
36620,0,1,0,0,1,0,0,0,0,1,0,0,0
37253,0,1,0,0,0,0,0,0,0,0,0,0,0
37328,1,0,0,0,0,0,0,0,0,0,0,0,0
37343,0,0,0,0,0,0,1,0,1,0,0,1,0
37513,0,1,0,0,0,0,0,0,0,0,0,0,1
37605,1,0,0,0,1,0,1,0,1,0,0,0,0
37899,1,0,0,0,0,0,0,0,1,1,1,1,0
38161,0,0,0,0,0,0,0,0,0,0,0,1,0
38253,0,1,0,0,0,0,0,0,0,1,0,1,0
38341,0,1,0,0,0,0,0,0,0,1,1,0,0
38362,0,1,0,1,0,0,0,0,0,0,1,0,1
38626,1,0,0,0,0,0,0,0,0,1,1,1,0
38691,0,1,0,0,0,0,0,0,0,0,1,0,1
38767,1,0,0,0,1,0,0,0,1,1,0,1,0
39821,0,1,0,0,0,0,0,0,1,1,1,1,1
40474,0,1,0,0,0,0,0,0,0,0,0,0,0
40736,0,1,0,0,0,0,0,0,0,0,0,0,1
40784,0,1,0,0,0,0,0,0,0,0,0,0,0
40888,1,0,0,0,0,0,1,0,1,0,0,1,0
41362,0,1,0,0,0,0,0,0,0,0,0,0,0
41435,0,1,0,0,0,0,0,0,0,0,0,0,0
41563,1,0,0,0,1,0,1,0,1,1,1,1,0
41953,0,1,0,0,1,0,0,0,0,0,1,0,0
42492,0,1,0,0,0,0,0,0,0,1,0,0,1
42532,0,1,0,0,0,0,0,0,0,1,0,0,1
42946,0,1,0,0,0,0,0,0,0,1,1,0,1
43256,0,1,0,0,0,0,0,0,0,0,0,0,0
43376,0,1,0,1,0,1,0,0,0,1,1,0,1
43714,1,0,0,0,1,0,0,0,1,1,0,1,0
43747,0,0,0,0,0,0,0,0,0,0,0,1,0
44465,0,1,0,0,0,1,1,1,1,0,0,1,0
44516,1,0,0,1,1,0,0,0,1,1,1,1,1
44698,0,1,0,0,0,0,0,0,0,0,0,0,0
44716,0,1,0,0,0,0,0,0,0,0,0,0,0
44875,0,1,0,0,0,0,0,0,0,0,1,0,1
44897,0,1,0,0,0,0,0,0,0,0,0,0,0
45157,0,1,0,0,0,1,0,1,0,0,0,0,1
45533,0,1,0,0,0,0,0,0,0,0,0,0,0
45875,0,1,0,1,0,1,0,1,0,1,1,1,1
45940,1,0,0,1,0,0,1,1,0,1,1,1,1
46340,0,1,0,0,0,0,0,0,1,1,0,0,1
46546,0,1,0,0,0,0,0,0,0,0,0,0,0
46664,1,0,0,0,0,0,0,0,0,0,0,0,0
46743,0,1,0,0,0,0,0,0,0,0,0,0,0
47031,1,0,0,0,0,0,0,0,0,0,0,0,0
47421,1,0,0,0,0,0,1,0,1,1,1,1,1
47757,0,1,0,0,0,0,0,0,0,0,1,0,0
47904,1,0,0,0,0,0,1,0,0,0,0,0,1
48023,0,1,0,0,0,0,0,0,0,0,0,0,0
48099,0,1,0,0,0,0,0,0,0,0,0,0,0
48213,0,1,0,0,0,0,0,0,0,0,0,0,0
48244,0,1,0,0,0,0,0,0,0,0,0,0,0
48540,1,0,0,0,0,0,0,0,0,0,0,0,0
49745,0,1,0,0,0,1,0,0,0,0,0,0,0
50449,1,0,0,0,0,0,1,0,1,0,0,0,0
51290,0,1,0,0,0,0,0,0,0,0,0,0,0
51717,1,0,0,0,0,0,1,1,1,0,1,1,0
51787,0,0,0,0,1,0,1,0,0,1,1,1,1
52327,1,0,0,0,0,0,0,0,0,0,1,1,0
52853,0,0,0,0,0,0,1,0,0,1,1,1,1
52891,0,1,0,0,0,0,0,0,0,0,0,0,0
53588,0,1,0,0,0,0,0,0,0,1,1,0,1
53881,1,0,0,0,1,0,0,0,0,1,1,1,1
54137,0,1,0,0,0,0,0,0,0,0,1,0,0
54560,1,0,0,0,0,0,1,1,1,1,1,1,1
55881,0,1,0,1,0,0,0,0,0,0,0,0,0
55909,0,1,0,1,0,0,0,0,0,0,1,0,1
56030,0,1,0,0,0,0,0,0,0,0,0,0,0
56359,0,1,0,0,0,0,0,0,0,0,0,0,0
56420,1,0,0,0,1,0,1,0,1,1,1,1,0
56430,0,0,0,0,0,0,0,0,1,1,1,1,1
56527,1,0,0,0,0,0,1,0,1,0,0,0,0
56572,0,1,0,0,0,0,0,0,0,0,0,0,0
57010,0,1,0,1,0,0,0,0,0,1,0,0,1
57437,0,1,0,0,0,0,0,0,0,0,0,0,0
57590,0,1,0,1,0,0,0,1,1,1,0,0,1
57976,0,1,0,0,0,0,0,0,0,0,0,0,0
58062,0,1,0,0,0,0,0,0,1,1,1,0,1
58273,0,1,1,0,0,0,0,0,0,0,1,0,1
58537,0,1,0,0,0,0,0,0,0,0,0,0,0
58743,0,1,0,0,0,1,0,0,0,1,1,0,1
59059,0,1,0,0,0,0,0,0,0,0,0,0,0
59115,1,0,0,0,0,1,1,0,1,1,1,1,0
59415,0,1,0,0,0,0,0,0,0,0,0,0,0
59731,0,1,0,0,0,0,0,0,0,0,0,0,0
59901,0,1,0,0,0,0,0,0,0,0,0,0,0
60323,1,0,0,0,0,0,0,0,0,0,0,0,0
60463,0,1,0,0,0,0,0,0,0,0,0,0,1
61015,0,1,0,0,0,0,0,1,0,0,0,0,1
61153,0,1,0,0,0,0,0,0,0,0,0,0,0
62013,0,1,0,0,0,0,0,1,0,1,1,0,1
62138,0,1,0,0,0,0,0,0,0,1,1,0,1
62568,0,1,0,0,0,0,0,0,0,0,0,0,0
62596,0,1,0,0,0,0,0,0,0,0,0,0,0
63883,0,1,0,0,0,0,0,0,0,0,0,0,0
64077,1,0,0,0,1,0,0,0,1,0,0,0,0
64201,1,1,0,0,0,0,0,0,0,0,0,0,0
64511,0,1,0,0,0,0,0,0,0,0,0,0,0
64737,0,1,0,0,0,0,0,0,0,0,0,1,0
65182,0,1,0,0,0,0,0,0,0,1,0,0,1
65346,0,1,0,0,0,0,0,0,0,1,1,0,1
65524,0,0,0,1,0,0,0,1,0,0,0,0,1
65685,0,1,0,0,0,0,0,0,0,0,0,0,0
66758,0,1,0,0,0,0,0,0,0,1,1,0,0
66816,0,1,0,0,0,0,0,0,0,0,0,0,0
66918,1,0,0,0,0,0,1,0,0,1,0,1,0
67174,1,0,0,0,0,0,0,0,1,0,0,1,0
67320,0,1,0,1,0,1,0,1,0,0,0,0,0
67681,1,0,0,0,1,0,0,0,1,1,0,0,0
67691,0,1,0,0,0,0,0,0,0,0,0,0,0
67932,0,1,0,0,0,0,0,0,0,1,0,0,0
68140,0,1,0,0,0,0,0,1,0,0,0,0,0
68584,1,0,0,0,1,0,1,0,1,1,0,0,0
68590,0,1,0,0,0,0,0,0,0,0,1,0,0
69119,0,1,0,1,0,0,0,1,0,0,0,0,1
69170,0,1,0,0,0,0,0,0,1,1,1,1,0
69221,0,1,0,0,0,0,0,0,0,0,0,0,0
70187,1,0,0,0,0,0,1,0,0,1,0,1,0
70416,0,1,0,0,0,0,0,1,0,0,1,0,1
70689,0,1,0,1,0,0,0,1,0,1,1,0,1
70963,1,1,0,0,1,0,1,0,1,1,0,0,0
71239,0,1,0,0,0,0,0,0,0,1,0,0,0
72736,0,1,0,0,0,0,0,0,0,0,0,0,0
73642,0,1,0,0,0,0,0,0,0,0,0,0,0
74024,0,1,0,0,0,0,0,0,0,0,0,0,0
74281,0,1,0,0,0,0,0,0,0,0,0,0,0
74712,0,1,0,0,0,0,0,0,0,0,1,0,1
75181,1,0,0,0,0,0,0,0,0,0,0,1,0
75264,1,0,0,0,0,0,0,0,0,0,0,0,0
75672,0,1,0,0,0,0,0,0,0,0,0,0,0
75708,1,1,0,0,0,0,1,0,1,0,0,0,0
75780,0,1,0,0,0,0,0,0,0,0,0,0,0
76260,0,1,1,1,0,0,0,1,0,1,1,0,1
76513,0,1,0,0,0,0,0,0,0,0,0,0,0
76695,0,1,0,0,0,0,0,0,0,0,0,0,0
77256,0,1,0,0,0,0,0,0,0,0,0,0,0
77283,0,1,0,0,0,0,0,0,0,0,0,0,0
77972,0,1,0,0,0,0,0,0,0,0,0,0,1
78397,0,1,0,0,0,0,0,0,1,1,0,0,0
78470,0,1,0,1,0,0,0,0,0,0,0,0,0
78825,0,1,0,0,0,0,0,0,0,0,0,0,0
79151,1,1,0,1,1,1,1,1,0,1,1,1,1
79437,0,1,0,0,0,0,0,0,0,0,0,0,0
79441,0,1,0,0,0,0,0,0,0,0,0,0,0
79456,0,1,0,0,0,0,0,0,0,1,1,0,0
79778,0,1,0,1,0,0,0,0,0,0,0,0,1
79790,0,1,0,0,0,0,0,0,0,0,0,0,0
79910,0,1,0,0,0,0,0,0,0,0,0,0,0
80021,1,0,0,0,0,0,1,0,0,0,0,1,0
80108,1,0,0,0,0,0,1,0,1,0,0,0,0
80207,0,1,0,0,0,0,0,0,0,1,0,0,1
80391,0,1,0,0,0,0,0,0,0,0,0,0,0
80428,0,1,0,1,0,0,0,1,0,0,1,0,1
80957,0,1,0,0,0,0,0,0,0,0,0,0,0
81241,0,1,0,0,0,0,0,1,0,0,0,0,0
81436,0,1,0,0,0,0,0,0,0,0,0,0,0
81937,0,1,0,0,0,0,0,0,0,1,0,0,0
82266,0,1,0,0,0,0,0,0,0,1,0,0,1
82307,0,1,0,1,0,1,0,1,0,1,1,0,1
82420,1,0,0,0,0,0,0,0,1,1,1,1,0
82438,0,0,0,0,0,0,1,0,0,1,0,0,0
82682,0,1,0,0,0,0,0,0,0,0,0,0,0
83134,1,0,0,0,0,0,1,0,1,0,1,1,0
83390,1,0,0,0,0,0,1,0,1,0,0,1,0
83549,0,1,0,0,0,0,0,0,0,1,1,0,1
84776,0,1,0,0,0,0,0,0,0,1,1,0,1
84780,0,1,0,0,0,0,0,0,0,0,0,0,0
85241,0,1,0,0,0,0,0,0,0,0,0,0,0
85285,0,1,0,0,0,0,0,0,0,0,0,0,0
85299,1,0,0,0,0,0,1,0,0,1,1,1,1
86034,0,0,0,0,1,1,1,1,1,1,1,0,0
86331,0,1,0,1,0,0,0,0,0,1,1,0,1
87103,0,1,0,0,0,0,0,0,0,1,0,0,1
87534,0,1,0,0,0,0,0,0,0,0,0,0,0
87667,0,0,0,0,0,0,0,0,1,1,1,0,0
88078,0,1,0,0,0,0,0,0,0,0,0,0,0
88405,1,0,0,0,0,0,0,0,0,0,0,1,0
88667,0,1,0,0,0,0,0,0,0,0,0,0,0
88897,0,1,0,0,0,0,0,0,0,0,0,0,0
89024,1,0,0,0,0,0,1,0,1,0,0,0,0
89039,0,1,0,0,0,0,0,0,0,1,1,0,1
89050,1,0,0,0,0,0,1,0,1,0,0,1,0
89124,0,1,0,0,0,0,0,1,0,0,0,0,0
89814,1,0,0,0,1,0,1,0,1,1,1,1,0
90010,0,1,0,0,0,0,0,0,0,0,0,0,1
90398,1,0,0,0,0,0,1,0,0,0,0,0,0
90814,0,1,0,0,0,0,0,0,0,0,0,1,0
90977,1,0,0,0,0,0,0,0,1,1,1,0,1
90995,0,1,0,0,0,0,0,0,0,0,0,0,0
91360,1,0,0,0,0,0,1,0,1,0,0,1,0
91482,1,0,0,0,1,0,0,0,1,1,0,1,1
92136,0,1,0,0,1,0,0,0,0,0,0,0,0
92804,0,1,0,0,0,0,0,0,0,0,0,0,0
93130,0,1,0,1,0,0,0,1,0,0,0,0,0
93358,0,1,1,1,0,1,1,1,1,1,1,1,1
93553,1,0,0,0,0,0,1,0,1,1,0,1,0
93670,0,1,0,1,0,1,0,1,1,1,1,1,1
94939,1,0,0,0,0,0,1,0,1,1,0,1,0
95038,1,1,0,1,0,0,0,1,1,0,0,1,0
95228,0,1,0,0,0,0,0,0,0,1,1,0,1
95230,0,1,0,0,0,0,0,0,0,0,0,0,0
95596,1,0,0,0,0,0,1,0,1,1,0,1,0
95960,1,1,0,1,0,1,1,1,1,1,1,1,1
96020,0,1,0,0,0,0,0,0,0,0,0,0,1
96823,0,1,0,1,0,0,0,0,0,0,0,0,0
97810,0,1,0,1,0,0,0,0,0,0,1,0,0
98223,0,1,0,0,0,0,0,0,0,1,0,0,0
98383,0,0,0,0,0,0,0,0,0,0,0,0,1
98606,0,1,0,1,0,0,0,0,1,1,1,0,1
98953,0,1,0,0,0,0,0,0,0,0,0,0,0
99254,0,1,0,0,0,0,0,0,0,0,0,0,0
99385,0,1,0,0,0,0,0,0,0,0,1,0,0
99469,0,1,0,1,0,0,0,1,1,1,1,0,1
99572,1,1,0,0,1,0,1,0,1,0,0,0,0
99772,1,0,0,0,1,0,1,0,1,1,0,1,0
99985,0,1,0,1,0,1,0,1,1,1,1,0,1
100045,0,1,0,0,0,0,0,0,0,0,0,0,0
100226,0,1,0,0,0,0,0,0,0,0,0,0,0
100258,0,1,0,0,0,0,0,0,0,1,0,0,0
100703,0,1,0,0,0,0,0,0,0,0,0,0,0
101145,0,1,0,0,1,0,0,0,1,0,0,0,0
101315,0,1,0,0,0,0,0,0,0,0,0,0,1
101865,0,1,0,0,0,0,0,0,0,0,0,0,1
101993,0,1,0,0,0,0,0,0,1,0,1,0,0
102028,0,1,0,0,0,0,0,0,0,0,0,0,0
102486,0,1,0,0,0,0,0,0,0,0,0,0,0
102555,0,1,0,0,0,0,0,0,0,0,0,0,0
103367,0,1,0,0,0,0,0,0,0,0,0,0,0
103435,0,1,0,0,0,0,0,0,0,0,0,0,0
103663,0,1,0,0,0,0,0,0,0,0,0,0,0
104696,1,0,0,0,0,0,1,0,1,0,1,1,0
104939,1,0,1,0,0,0,1,0,1,0,0,1,0
104951,0,0,0,0,1,0,0,0,1,1,1,1,1
105448,1,0,0,0,0,0,1,0,1,0,0,0,0
106089,0,1,0,0,1,0,1,0,0,1,0,0,0
106904,0,1,0,0,0,0,0,0,0,1,0,0,0
107319,0,1,0,0,0,0,0,0,0,1,1,1,0
107599,1,0,0,0,1,0,1,0,1,1,0,0,0
108637,0,1,0,0,0,0,0,0,1,0,1,0,0
109332,1,0,0,0,0,0,0,0,0,0,0,0,0
109865,1,0,0,0,0,0,1,0,1,0,0,0,0
109902,1,0,0,0,1,0,1,0,1,1,0,1,0
109984,0,1,0,1,0,0,0,1,0,0,1,0,1
110895,1,0,0,0,0,0,0,0,1,0,0,0,0
111006,0,1,0,0,0,0,0,0,0,0,0,0,0
111237,0,1,0,0,0,0,0,0,0,0,1,0,0
111295,0,1,0,0,0,0,0,0,0,0,0,0,1
111562,0,0,0,0,1,1,0,0,0,0,1,0,0
112251,0,1,0,0,0,0,0,0,0,0,0,0,0
112335,0,1,0,0,0,0,0,0,0,0,1,1,0
112537,1,0,0,0,1,0,1,0,1,0,0,1,0
112606,0,1,0,0,0,0,0,0,0,0,0,0,0
112698,0,1,0,0,0,0,0,1,0,0,1,0,0
112707,0,0,0,1,0,1,0,1,1,1,1,1,1
112881,1,0,0,0,1,0,0,0,1,1,1,1,1
113003,1,0,0,0,0,0,0,0,1,0,0,0,0
113066,0,1,0,1,0,0,0,1,0,1,1,0,1
113096,0,1,0,0,0,0,0,0,0,0,0,0,1
113537,1,0,0,0,0,0,0,0,0,0,0,0,0
113853,0,1,0,0,0,0,0,0,0,0,0,0,0
113922,0,1,0,0,0,0,0,0,0,0,0,0,0
114026,1,0,0,0,0,0,1,0,0,0,0,0,0
114194,0,1,0,1,0,0,0,0,0,0,0,0,0
114530,0,1,0,0,0,0,0,0,0,0,0,0,0
114712,1,0,0,0,0,0,0,0,0,0,0,0,0
114917,0,1,0,0,0,0,0,0,0,0,0,0,0
115067,0,1,0,0,1,0,0,0,0,1,0,0,0
115340,0,1,0,0,0,0,0,1,0,0,0,0,1
115533,1,0,0,0,0,0,1,0,0,0,0,1,0
115586,0,1,0,0,0,0,0,0,0,0,0,0,0
115720,1,0,0,0,1,0,1,0,1,1,0,0,0
115938,1,0,0,0,0,0,0,0,0,0,0,1,0
116161,0,0,0,0,0,0,0,0,0,1,1,1,1
116177,0,1,0,0,0,0,0,0,0,0,0,0,0
116650,1,1,0,0,1,0,1,0,1,1,0,1,0
117255,0,1,0,0,0,0,0,0,0,0,0,0,0
117810,0,1,0,1,0,1,0,1,0,1,0,0,0
117855,0,1,0,1,0,0,0,0,0,0,1,0,0
117868,0,1,0,0,0,0,0,0,0,0,1,0,0
119455,1,0,0,0,0,0,0,0,0,0,0,0,0
120313,0,1,0,1,0,0,0,0,0,0,0,0,1
120409,0,1,0,0,0,0,0,0,0,0,0,0,0
120710,0,1,0,0,0,1,0,1,0,1,1,1,1
120883,0,1,0,0,0,0,0,0,0,0,0,0,0
120995,0,1,0,0,0,0,0,1,0,0,0,0,0
121426,0,1,0,0,0,0,0,1,1,1,1,0,1
121569,1,0,0,0,0,0,0,0,1,0,0,0,0
121684,0,1,0,1,0,0,0,0,0,1,1,0,1
121984,1,0,0,0,1,0,1,0,1,1,1,1,0
122106,1,0,0,0,0,0,0,0,0,0,0,0,0
122721,1,0,0,0,0,0,1,0,1,0,1,1,0
123023,0,1,0,0,0,0,0,0,0,0,0,0,0
123855,0,1,0,0,0,0,0,0,0,0,0,0,0
124080,1,0,0,0,0,0,1,0,1,0,0,0,0
124309,0,0,0,0,0,0,1,0,1,0,0,1,0
124381,1,0,0,0,0,0,1,0,0,0,0,0,0
124464,0,1,0,0,0,0,0,0,0,0,0,0,0
124967,0,1,0,0,0,1,0,0,0,0,0,0,0
124979,0,1,0,0,0,0,0,0,0,0,1,0,1
125437,0,1,0,1,0,1,0,1,0,0,1,0,1
125637,1,0,0,0,0,0,0,0,0,0,0,0,0
125826,1,0,0,0,1,0,0,0,1,1,1,1,0
125862,0,1,0,0,0,0,0,0,0,0,0,1,0
125966,0,1,0,1,0,0,0,0,0,1,0,0,0
126054,0,1,0,0,0,0,0,0,0,1,1,0,0
126682,1,0,0,0,0,0,0,0,0,1,0,1,1
126685,0,1,0,0,0,0,0,0,0,0,0,0,0
126989,0,1,0,0,0,0,0,0,0,0,0,0,1
127659,0,1,0,0,0,0,0,0,0,0,1,0,0
128210,0,1,0,0,0,0,0,0,0,0,0,0,1
128264,0,0,0,1,0,0,0,0,0,0,1,0,1
128409,0,1,0,0,0,0,0,0,0,0,0,0,0
128802,1,0,0,0,0,0,0,0,0,0,0,0,0
129734,1,0,0,0,0,0,1,0,1,0,0,1,0
130737,0,0,0,0,1,0,1,0,1,1,1,1,0
131547,0,0,0,0,0,0,0,0,1,0,0,1,0
131552,0,1,0,0,0,0,0,1,0,0,0,0,0
131678,1,0,0,0,0,0,0,0,1,0,0,0,0
131795,0,1,0,0,0,0,0,0,0,0,0,0,0
131992,0,1,0,0,0,0,0,0,0,0,0,0,0
132060,0,1,0,0,0,0,0,0,0,0,0,0,0
132849,0,0,0,0,1,0,1,0,1,1,0,1,0
132997,0,1,0,0,0,0,0,0,0,0,0,0,0
132998,1,0,0,0,0,0,1,0,1,0,0,1,0
133082,0,1,0,1,0,1,0,1,0,1,1,0,1
133340,0,1,0,0,0,0,0,0,0,0,0,0,0
133509,1,0,0,0,0,0,1,0,1,1,0,1,0
133511,1,0,0,0,0,0,1,0,0,0,1,1,1
133759,1,0,0,0,1,0,1,0,1,1,0,1,0
133799,0,1,0,0,0,0,0,0,0,0,0,0,0
133823,0,1,0,0,0,0,0,0,0,0,1,0,1
133873,1,0,0,0,0,0,0,0,1,1,0,1,0
133938,0,1,0,0,0,0,0,0,0,1,0,0,0
134064,0,1,0,0,0,0,0,0,0,1,0,0,0
134075,0,1,0,0,0,0,0,0,0,0,0,0,0
134448,0,1,0,1,0,1,0,1,0,1,1,0,1
134583,0,0,0,0,0,0,0,1,1,1,1,0,0
134793,0,1,0,1,0,0,0,1,0,0,1,0,1
134892,0,1,0,0,0,0,0,0,0,0,1,0,1
135206,0,1,0,0,0,0,0,0,0,0,0,0,0
135359,0,1,0,0,0,0,0,0,0,0,0,1,0
135612,1,0,0,0,0,0,1,0,0,0,0,0,0
135652,1,0,0,0,0,0,0,1,1,1,1,1,1
135677,0,1,0,0,0,0,0,0,0,0,0,0,0
135730,1,0,0,0,0,0,0,0,0,0,0,1,0
135910,0,1,0,0,0,0,0,0,0,0,0,0,0
136090,0,1,0,0,0,0,0,0,0,1,0,0,1
136099,0,1,0,0,0,0,0,0,0,1,0,0,0
136138,0,1,0,1,0,0,0,0,0,0,0,0,0
136265,1,0,0,0,0,0,1,0,1,0,1,1,0
136378,1,0,0,0,0,0,0,0,1,0,0,1,0
136632,1,0,0,0,0,0,0,0,1,0,0,1,0
136829,0,0,0,0,0,0,0,0,1,0,0,0,0
137700,1,0,0,0,1,0,1,0,0,0,0,1,0
138137,1,0,0,0,0,0,1,0,1,1,1,1,0
138214,0,1,0,0,0,0,0,0,0,0,0,0,0
138353,0,1,0,0,0,0,0,0,0,0,0,0,0
138963,1,0,0,0,0,0,0,0,1,0,0,0,0
